kr,eng
"사람은 열 번 바뀐다. (서양속담, 자기관리속담)",Men change ten times.
"신용이 금보다 낫다 (서양속담, 자기관리속담)",Credit is better than gold.
"눈은 몸의 등불이다. (서양속담, 자기관리속담)",The eye is the light of the body.
"지위가 높으면 위험이 크다. (서양속담, 자기관리속담)","High place, great danger."
"낚시밥은 바늘을 숨기고 있다. (서양속담, 자기관리속담)",The bait hides the hook.
"높은 나무에 바람이 세다. (네덜란드속담, 자기관리속담)",Tall trees catch much wind.
"이마는 마음의 정문이다. (서양속담, 자기관리속담)",The forehead is the gate of the mind.
"누구도 주는 손을 자르지는 않는다. (터키속담, 자기관리속담)",No one cuts the hand that gives.
"너 카누의 노를 저어라.(너 일을 스스로 해라.) (서양속담, 자기관리속담)",Paddle your own canoe.
"좋은 깃털이 좋은 새를 만든다. (서양속담, 자기관리속담)",The fair feathers still make fair fowls.
"사나운 개 콧등 아물 틈이 없다. (서양속담, 자기관리속담)",A fierce dog's nose has no time to heal.
"많이 요구하고, 주는대로 받으라. (러시아속담, 자기관리속담)","Ask a lot, but take what is offered."
"미친 자와 황소에게는 길을 비켜 줘라. (서양속담, 자기관리속담)",Make way for a madman and a bull.
"차가운 부싯돌에 뜨거운 불이 있다. (서양속담, 자기관리속담)",In the coldest flint there is hot fire.
"사람은 귀보다는 눈을 더 믿는다. (서양속담, 자기관리속담)",Men trust their ears less than their eyes.
"어느 누구보다도 당신 자신을 조심하라. (서양속담, 자기관리속담)",Beware of no man more than thyself.
"눈은 어디서나 하나의 언어를 갖는다. (서양속담, 자기관리속담)",The eyes have one language every where.
"아름다운 얼굴은 무언의 추천장이다. (서양속담, 자기관리속담)",A beautiful face is a silent commendation.
"개울 바닥을 볼 수 없으면, 건너지 마라. (서양속담, 자기관리속담)","If thou cannot see the bottom, wade not."
"남은 가끔 용서하되, 자신은 용서하지 말라. (서양속담, 자기관리속담)","Pardon another often, yourself never."
"우리 성격은 우리 행동의 결과다. (이탈리아속담, 자기관리속담)",Our characters are the result of our conduct.
"표범도 자기 얼룩을 바꿀 수는 없다.(제 버릇 개 못 준다.) (서양속담, 자기관리속담)",A leopard can't change his spots.
"얼굴은 종종 마음의 참다운 지표다. (서양속담, 자기관리속담)",The face is oftentimes a true index of the heart.
"잃을 것이 없는 사람과 다투지 말라. (서양속담, 자기관리속담)",Never contend with a man who has nothing to lose.
"큰 불은 가끔 조그만 불티에서 일어난다. (서양속담, 자기관리속담)",A large fire often comes from a small spark.
"사람들이 가는 길을 따라가면 안전할 것이다. (서양속담, 자기관리속담)","keep the common road, and you are safe."
"바람에 침을 뱉으면 제 수염만 더럽힌다. (서양속담, 자기관리속담)",He who spits against the wind fouls his beard.
"네게 돌아올 화살은 쏘지 마라. (쿠르드족속담, 자기관리속담)",Do not throw the arrow which will return against you.
"다른 사람을 탓하는 사람은 스스로 순수해야 한다. (서양속담, 자기관리속담)",He must be pure who blames another.
"늑대는 이빨을 잃어도 천성을 잃지 않는다. (서양속담, 자기관리속담)",Wolves lose their teeth but not their nature.
"뿌린대로 거두리라.(콩 심은데 콩나고 팥 심은데 팥난다.) (서양속담, 자기관리속담)","As one sows, so shall he reap."
"깨끗한 양심만큼 부드러운 베개는 없다. (프랑스속담, 자기관리속담)",There is no pillow so soft as a clear conscience.
"가시를 뿌린자 결코 포도를 거두지 못할 것이다. (서양속담, 자기관리속담)",He who sows thorns will never reap grapes.
"친절이 (상대를) 다스리는 가장 고귀한 무기다. (서양속담, 자기관리속담)",Kindness is the noblest weapon to conquer with.
"동네마다 도둑이 있고, 산마다 늑대가 있다. (서양속담, 자기관리속담)","Every tribe has its thief, every mountain its wolf."
"불행이 잠들어 있을 때는 결코 깨워서는 안된다. (서양속담, 자기관리속담)",Misfortunes when asleep are not to be awakened.
"펙(약9 L)으로 주고 부셜(약36 L)로 받다. 되로 주고 말로 받는다. (서양속담, 자기관리속담)",Giving a peck and getting a bushel.
"수염이 (인품을 나타내는) 전부라면, 염소가 설교하겠다. (서양속담, 자기관리속담)","If the beard were all, a goat might preach."
"전쟁터로 가라거나, 결혼하라는 충고는 하지 마라. (스페인속담, 자기관리속담)",Never advise any one to go to war or to marry.
"눈에는 눈, 이에는 이, 손에는 손, 발에는 발 (서양속담, 자기관리속담)","Eye for eye, tooth for tooth, hand for hand, foot for foot."
"개는 돌을 던진 사람이 아니라, 돌에게 화를 낸다. (서양속담, 자기관리속담)","The dog rages at the stone, not at him who throws it."
"갈까마귀를 길러라, 그러면 너의 눈을 쪼을 것이다. (스페인속담, 자기관리속담)","Bring up a raven, and it will peck out your eyes."
"장갑 낀 고양이는 쥐를 잡지 않는다.(호사스러우면 노력하지 않는다.) (서양속담, 자기관리속담)",A cat in gloves catches no mice
"자정 전의 한 시간의 잠은 그후 세 시간 잔 것과 같다. (서양속담, 자기관리속담)",One hour's sleep before midnight is worth three after.
"칭찬은 좋은 사람은 더 좋게, 못된 사람은 더 못 되게 해준다. (서양속담, 자기관리속담)",Praise makes good men better and bad men worse.
"손님은 하루 밤만 묵어도 벽에 못을 박는다. (폴란드속담, 자기관리속담)",A guest sticks a nail in the wall even if he stays but one night.
"슬픔을 숨기는 사람은 그에 대한 해결책을 찾아내지 못한다. (서양속담, 자기관리속담)",He that conceals his grief finds no remedy for it.
"너를 위해 끓지 않는 솥에 숫가락을 넣지 말라. (루마니아속담, 자기관리속담)",Do not put your spoon into the pot which does not boil for you.
"사람들은 기다리게 하는 자의 허물을 헤아린다. (프랑스속담, 자기관리속담)",People count up the faults of those who are keeping them waiting.
"벼룩도 낯짝이 있다. (서양속담, 자기관리속담)","No shame, no honor."
"모직 얻으러 갔다가 양털 깎인채 집에 온다.(혹 떼러 갔다가 혹 붙이고 돌아온다.) (서양속담, 자기관리속담)",Go for wool and come home shorn.
"당신의 열정을 지배하라. 그렇지 않으면 당신이 열정에 지배될 것이다. (라틴속담, 자기관리속담)","Govern your passions, or they will govern you."
"핥는 사람은 문다. (프랑스속담, 자기관리속담)",He who can lick can bite.
"더러운 속옷을 남앞에서 빨지말라. (내부의 창피스런 일을 외부에 드러내지 말라). (서양속담, 자기관리속담)",Do not wash your dirty linen in public.
"잠자는 사자를 깨우지 말라. (서양속담, 자기관리속담)",Wake not a sleeping lion.
"절망은 바보의 결론이다. (서양속담, 자기관리속담)",Despair is the conclusion of fools.
"사람은 그의 얼굴을 통해 읽힌다. (서양속담, 자기관리속담)",Man is read in his face.
"부드러운 말이 분노를 쫓아낸다. (서양속담, 자기관리속담)",Soft words run away wrath.
"위험은 위험으로써 극복한다. (서양속담, 자기관리속담)",Dangers are overcome by dangers.
"빌려주는 사람은 그냥 주는 사람이다. (서양속담, 자기관리속담)","He that lends, gives."
"돌밭을 피해와서 모래밭에서 죽다.(큰 위험을 피했으나 작은 위험을 소홀히 하여 화를 입다.) (서양속담, 자기관리속담)",Escape the rocks and perish in the sands.
"밟아 다져진 길이 가장 안전하다. (서양속담, 자기관리속담)",The beaten road is the safest.
"화 난 사람은 올바로 보지 못한다. (서양속담, 자기관리속담)",An angry man cannot see right.
"물주전자가 너무나 자주 우물로 가면 마침내 깨어진다.(꼬리가 길면 잡힌다.) (서양속담, 자기관리속담)",The pitcher goes so often to the well that it is broken at last.
"청하지 않는 자에게 충고를 하지 마라. (독일속담, 자기관리속담)",Never give advice unless asked.
"위험을 예견했다면 반쯤 피한 것이다. (서양속담, 자기관리속담)",Danger foreseen is half avoided.
"높이 올라갈 수록 떨어지는 충격은 크다. (서양속담, 자기관리속담)","The higher up, the greater fall."
"고향에서 환영받는 선지자는 없다. (서양속담, 자기관리속담)",A prophet has no honor in his own country.
"온유함이 분노보다 더 많은 것을 다스린다. (서양속담, 자기관리속담)",Mildness governs more than anger.
"화가 났거든 말하기 전에 열을 헤아려라. (서양속담, 자기관리속담)",When angry count ten before speaking.
"당신이 할 수 있는 동안 장미 봉우리를 모아라. (서양속담, 자기관리속담)",Gather the rosebuds while you may.
"회초리를 차지 말라.(무모하게 대들다가는 다친다.) (서양속담, 자기관리속담)",Do not kick against the pricks.
"해악을 가한 사람은 반드시 해악을 당한다. (서양속담, 자기관리속담)","He that mischief hatches, mischief catches."
"집에 가서 개를 차다.(종로에서 빰 맞고 한강 가서 눈 흘긴다.) (서양속담, 자기관리속담)",Go home and kick the dog.
"삐걱거리는 바퀴가 기름을 얻는다.(우는 아이 젖 준다.) (서양속담, 자기관리속담)",The squeaky wheel gets the grease.
"비둘기의 분노를 두려워 하라.(순한 사람이 화낼 때 조심하라. (서양속담, 자기관리속담)",Dread the anger of the dove.
"평소보다 훨씬 더 네게 애정을 베풀려는 이는 너를 속였거나, 너를 속이려고 하는 것이다. (프랑스속담, 자기관리속담)",He who fondles more than usual has either deceived you or wants to do so.
"한 사람의 얼굴은 성격에 대해 많은 것을 말한다. (서양속담, 자기관리속담)",A man's face tells a great deal about character.
"너무 달면 안된다. 너를 삼켜 버릴 거니까. 너무 쓰거워도 안된다. 너를 뱉어 버릴 거니까. (이스라엘속담, 자기관리속담)",Don't be too sweet lest you be eaten up; don't be too bitter lest you be spewed out.
"남이 자기 어깨에 올라서는 걸 허락한 사람은 남이 머리 위에 올라서는 것도 겪는다.(어깨에 태웠더니 머리 위를 밟고 오른다.) (서양속담, 자기관리속담)","Who lets another sit on his shoulder, soon have him on his head."
"닮으면 좋아한다. (서양속담, 자기관리속담)",Likeness causes liking.
"극단이 극단을 낳는다. (서양속담, 자기관리속담)",Extremes beget extremes.
